"","ASSESSMENT","ID_NO","BINOMIAL","PRESENCE","ORIGIN","SEASONAL","COMPILER","YEAR","CITATION","LEGEND","fid","GID_0","COUNTRY","prevalence.mean","DNC-175.mean","Peru-anuran-species-PSAD56.mean","prevalence.max","DNC-175.max","Peru-anuran-species-PSAD56.max","prevalence.sd","DNC-175.sd","Peru-anuran-species-PSAD56.sd","Area","Status"
"1",516206,135882,"Rhinella manu",1,1,1,"Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature) & Conservation International.","Extant (resident)",1,"PER","Peru",0.106867524761535,0.110384515287526,9.93434281098215,0.365665853023529,0.493605852127075,15.3124151229858,0.0941158884185836,0.120194035377276,2.15414522874119,9211.89880110866,"Least Concern"
"2",516500,135968,"Chimerella mariaelenae",1,1,1,"Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe","Extant (resident)",1,"PER","Peru",0.062533487833256,0.00539107032147007,25.4871456989875,0.229143992066383,0.0221788007766008,49.3801498413086,0.0541443264949464,0.00699662924831152,12.5469567664304,9652.32658931684,"Least Concern"
"3",516817,136015,"Pristimantis aquilonaris",1,1,1,"IUCN",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.177808068221202,0.110562710464001,6.12988862124356,0.455096304416656,0.200484335422516,8.37720966339111,0.184848245002831,0.0559368998030655,1.57174181329473,1377.48569706228,"Least Concern"
"5",517865,136129,"Telmatobius punctatus",1,1,1,"Jennifer Luedtke",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0127014346976466,0.0733028734102845,3.12607857584953,0.0500089190900326,0.0990751981735229,5.72268867492676,0.0248730948848464,0.0296369114275478,1.74305902641592,610.879945891042,"Endangered"
"6",518002,78526171,"Oreobates lehri",1,1,1,"Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe","Extant (resident)",1,"PER","Peru",0.0958872220732949,0.376344095576893,7.53198927099054,0.346929490566254,0.490532845258713,8.80710983276367,0.098088055368276,0.0640114743152631,1.13120851560001,1348.64403057436,"Endangered"
"7",779119,158472,"Pristimantis leucorrhinus",1,1,1,"Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe","Extant (resident)",1,"PER","Peru",0.105147644877434,0.0884347595274448,6.82278561592102,0.126595318317413,0.0914640426635742,7.93375062942505,0.0303315906601683,0.00428405329538227,1.57114178941941,16.6208458018159,"Data Deficient"
"8",1966043,190998,"Osteocephalus castaneicola",1,1,1,"Ariadne Angulo",2012,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.00424156857581785,0.0976553114403965,90.7966723864592,0.0178231038153172,0.128806054592133,98.7399978637695,0.00292454299944028,0.0225917998142869,5.35871921433395,19276.9654857131,"Least Concern"
"9",1966296,191003,"Scinax iquitorum",1,1,1,"Laurence Jarvis and Ariadne Angulo",2012,"IUCN (International Union for Conservation of Nature), Conservation International and NatureServe.","Extant (resident)",1,"PER","Peru",0.00883470477740502,0.00358409784075775,112.1900806427,0.0433870367705822,0.0122277503833175,122.061813354492,0.00653542880015525,0.0029266726813182,5.72491121260509,38899.8766025621,"Least Concern"
"10",2775788,21584,"Telmatobius peruvianus",1,1,1,"Kelsey Neam",2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",7.61803196640492e-07,0.000648806529287215,3.95514060536476,2.94762467092369e-05,0.00871360395103693,6.99037885665894,3.74553514014277e-06,0.00159031982816775,1.98888503730468,8568.95723625731,"Vulnerable"
"11",2775788,21584,"Telmatobius peruvianus",6,1,1,"Kelsey Neam",2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Presence Uncertain",1,"PER","Peru",0.0613965768411072,0.0349554429273121,5.83058542251587,0.628302812576294,0.125738203525543,6,0.154297863230358,0.0396838037898508,0.31156556481479,2963.73349081902,"Vulnerable"
"12",2790184,29432,"Ameerega planipaleae",1,1,1,"Kelsey Neam",2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.","Extant (resident)",1,"PER","Peru",0.0877334090570609,0.0962016818424066,6.63331190745036,0.15742851793766,0.150061637163162,8.97238731384277,0.0503411606702338,0.0355604949429673,1.65280366534675,79.4428928016703,"Critically Endangered"
"13",3016090,54544,"Atelopus pulcher",1,1,1,"Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe","Extant (resident)",1,"PER","Peru",0.0278473424325542,0.0192965857125819,68.6584472910563,0.145172610878944,0.0836352109909058,94.2454528808594,0.0335837287273847,0.0214756497437465,19.900969402094,9295.59292039279,"Vulnerable"
"14",3016604,54575,"Rhinella arborescandens",1,1,1,"Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe","Extant (resident)",1,"PER","Peru",0.118226947635412,0.0894057239405811,8.35868225097656,0.199110329151154,0.122116908431053,10.3978462219238,0.0881803908266417,0.0489682648192096,1.23256459499009,379.24961486125,"Endangered"
"15",3022825,55045,"Allobates alessandroi",1,1,1,"Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe","Extant (resident)",1,"PER","Peru",0.11370493308641,0.000677205911348011,11.0731873512268,0.184454306960106,0.00400188053026795,14.4094257354736,0.0647073305133491,0.00136809107610999,1.86058750931192,1117.73154237806,"No information"
"16",3039671,56443,"Pristimantis avicuporum",1,1,1,"Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe","Extant (resident)",1,"PER","Peru",0.583075970411301,0.00459689670242369,6.14235496520996,0.740229189395905,0.0046414160169661,6.26669025421143,0.222248213658616,6.29598184134339e-05,0.17583665198745,157.37602152974,"Least Concern"
"18",3054922,57107,"Oreobates saxatilis",1,1,1,"Kelsey Neam",2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe","Extant (resident)",1,"PER","Peru",0.033558812149181,0.0358141485977775,47.9137337391193,0.124130897223949,0.166915267705917,78.6874237060547,0.0352170347218286,0.0448534604660654,19.8507906252666,3162.17260768359,"Least Concern"
"19",3054922,57107,"Oreobates saxatilis",1,1,1,"Steve Best",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe","Extant (resident)",1,"PER","Peru",0.0219486130201797,0.0388359345410749,7.50113520751128,0.39095875620842,0.160981029272079,9.87539958953857,0.0639823156680453,0.0379272414591664,1.11209460102055,4494.97990293259,"Least Concern"
"20",3056172,57136,"Leptodactylus labrosus",1,1,1,"Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe","Extant (resident)",1,"PER","Peru",0.000821823486662795,0.00725920630748919,2.56691916404825,0.187142640352249,0.252451449632645,7.12542581558228,0.010104667721568,0.0308690602765175,1.56778652639275,59754.503814175,"Least Concern"
"21",3056338,57153,"Leptodactylus pascoensis",1,1,1,"Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe","Extant (resident)",1,"PER","Peru",0.0189678102615289,0.117165292846039,22.7349314689636,0.0430018752813339,0.202427729964256,66.6356582641602,0.019173567425771,0.0901239336660311,29.5923802861987,30.785331929744,"Data Deficient"
